elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
10.939,31.1,0.2733,0,0.000,0.00,NORMAL,INSTANT,1
10.970,30.7,0.2685,0,0.000,0.00,NORMAL,INSTANT,1
11.008,31.0,0.2649,0,0.000,0.00,NORMAL,INSTANT,1
11.038,30.4,0.2683,0,0.000,0.00,NORMAL,INSTANT,1
11.075,30.8,0.2860,0,0.000,0.00,NORMAL,INSTANT,1
11.104,30.4,0.2840,0,0.000,0.00,NORMAL,INSTANT,1
11.140,30.8,0.2685,0,0.000,0.00,NORMAL,INSTANT,1
11.176,30.5,0.2677,0,0.000,0.00,NORMAL,INSTANT,1
11.211,30.2,0.2762,0,0.000,0.00,NORMAL,INSTANT,1
11.237,30.0,0.2773,0,0.000,0.00,NORMAL,INSTANT,1
11.270,30.9,0.2666,0,0.000,0.00,NORMAL,INSTANT,1
11.302,30.8,0.2769,0,0.000,0.00,NORMAL,INSTANT,1
11.346,30.9,0.2664,0,0.000,0.00,NORMAL,INSTANT,1
11.370,30.1,0.2847,0,0.000,0.00,NORMAL,INSTANT,1
11.407,31.2,0.2898,0,0.000,0.00,NORMAL,INSTANT,1
11.441,30.8,0.2739,0,0.000,0.00,NORMAL,INSTANT,1
11.478,30.6,0.2778,0,0.000,0.00,NORMAL,INSTANT,1
11.514,30.3,0.2592,0,0.000,0.00,NORMAL,INSTANT,1
11.547,30.1,0.2736,0,0.000,0.00,NORMAL,INSTANT,1
11.575,30.1,0.2757,0,0.000,0.00,NORMAL,INSTANT,1
11.609,30.6,0.2730,0,0.000,0.00,NORMAL,INSTANT,1
11.641,30.5,0.2151,0,0.000,0.00,NORMAL,INSTANT,1
11.685,30.6,0.0427,1,0.000,5.62,NORMAL,INSTANT,1
11.703,29.8,0.1173,1,0.019,7.82,NORMAL,INSTANT,1
11.744,32.2,0.1866,1,0.059,12.26,NORMAL,INSTANT,1
11.776,31.4,0.2139,1,0.089,15.27,WARNING,PERCLOS,1
11.812,31.6,0.2221,0,0.000,14.62,WARNING,INSTANT,1
11.835,31.1,0.2275,0,0.000,14.26,WARNING,INSTANT,1
11.871,32.3,0.2305,0,0.000,13.73,WARNING,INSTANT,1
11.902,31.9,0.2430,0,0.000,13.32,WARNING,INSTANT,1
11.936,32.0,0.2587,0,0.000,12.87,WARNING,INSTANT,1
11.977,31.7,0.2603,0,0.000,12.38,WARNING,INSTANT,1
12.006,30.9,0.2491,0,0.000,12.06,WARNING,INSTANT,1
12.038,31.4,0.2624,0,0.000,11.71,WARNING,INSTANT,1
12.077,31.3,0.2690,0,0.000,11.32,WARNING,INSTANT,1
12.106,30.7,0.2715,0,0.000,11.05,WARNING,INSTANT,1
12.139,31.1,0.2728,0,0.000,10.75,WARNING,INSTANT,1
12.169,31.0,0.2713,0,0.000,10.50,WARNING,INSTANT,1
12.214,31.2,0.2777,0,0.000,10.14,WARNING,INSTANT,1
12.241,30.3,0.2811,0,0.000,9.94,WARNING,INSTANT,1
12.277,31.1,0.2829,0,0.000,9.68,WARNING,INSTANT,1
12.307,30.7,0.2788,0,0.000,9.47,WARNING,INSTANT,1
