elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
13.569,30.7,0.2776,0,0.000,0.00,NORMAL,RECOVERED,1
13.599,29.7,0.2808,0,0.000,0.00,NORMAL,RECOVERED,1
13.626,30.1,0.2848,0,0.000,0.00,NORMAL,RECOVERED,1
13.667,30.8,0.2754,0,0.000,0.00,NORMAL,RECOVERED,1
13.689,30.2,0.2782,0,0.000,0.00,NORMAL,RECOVERED,1
13.732,31.8,0.2874,0,0.000,0.00,NORMAL,RECOVERED,1
13.753,30.9,0.2815,0,0.000,0.00,NORMAL,RECOVERED,1
13.793,32.6,0.2855,0,0.000,0.00,NORMAL,RECOVERED,1
13.823,31.8,0.2932,0,0.000,0.00,NORMAL,RECOVERED,1
13.862,32.0,0.2973,0,0.000,0.00,NORMAL,RECOVERED,1
13.888,31.4,0.2902,0,0.000,0.00,NORMAL,RECOVERED,1
13.927,32.0,0.2850,0,0.000,0.00,NORMAL,RECOVERED,1
13.956,31.5,0.2854,0,0.000,0.00,NORMAL,RECOVERED,1
13.989,31.6,0.2858,0,0.000,0.00,NORMAL,RECOVERED,1
14.027,31.5,0.2881,0,0.000,0.00,NORMAL,RECOVERED,1
14.059,31.0,0.2873,0,0.000,0.00,NORMAL,RECOVERED,1
14.086,31.0,0.2902,0,0.000,0.00,NORMAL,RECOVERED,1
14.129,31.6,0.3000,0,0.000,0.00,NORMAL,RECOVERED,1
14.157,30.8,0.3010,0,0.000,0.00,NORMAL,RECOVERED,1
14.193,31.4,0.2865,0,0.000,0.00,NORMAL,RECOVERED,1
14.224,31.0,0.2964,0,0.000,0.00,NORMAL,RECOVERED,1
14.260,31.2,0.2944,0,0.000,0.00,NORMAL,RECOVERED,1
14.291,30.8,0.2964,0,0.000,0.00,NORMAL,RECOVERED,1
14.325,31.0,0.2892,0,0.000,0.00,NORMAL,RECOVERED,1
14.354,30.8,0.2696,0,0.000,0.00,NORMAL,RECOVERED,1
14.387,31.1,0.2696,0,0.000,0.00,NORMAL,RECOVERED,1
14.422,31.0,0.2692,0,0.000,0.00,NORMAL,RECOVERED,1
14.460,30.8,0.2577,0,0.000,0.00,NORMAL,RECOVERED,1
14.493,30.4,0.0971,1,0.000,0.88,NORMAL,INSTANT,1
14.522,30.3,0.0373,1,0.029,1.64,NORMAL,INSTANT,1
14.557,30.7,0.0387,1,0.064,2.53,NORMAL,INSTANT,1
14.592,30.6,0.0305,1,0.099,3.41,NORMAL,INSTANT,1
14.619,30.4,0.0304,1,0.127,4.10,NORMAL,INSTANT,1
14.658,30.9,0.1325,1,0.164,5.02,NORMAL,INSTANT,1
14.685,30.5,0.1895,1,0.192,5.70,NORMAL,INSTANT,1
14.727,31.0,0.2085,1,0.234,6.67,NORMAL,INSTANT,1
14.752,30.3,0.2248,1,0.259,7.27,NORMAL,INSTANT,1
14.798,31.2,0.2260,1,0.305,8.30,NORMAL,INSTANT,1
14.821,30.2,0.2282,1,0.328,8.82,NORMAL,INSTANT,1
14.860,31.6,0.2295,0,0.000,8.74,NORMAL,RECOVERED,1
14.900,31.1,0.2303,0,0.000,8.65,NORMAL,RECOVERED,1
14.928,30.4,0.2372,0,0.000,8.60,NORMAL,RECOVERED,1
14.959,30.8,0.2386,0,0.000,8.53,NORMAL,RECOVERED,1
14.990,31.0,0.2436,0,0.000,8.47,NORMAL,RECOVERED,1
15.023,31.1,0.2441,0,0.000,8.40,NORMAL,RECOVERED,1
15.056,31.0,0.2481,0,0.000,8.34,NORMAL,RECOVERED,1
15.091,31.1,0.2449,0,0.000,8.27,NORMAL,RECOVERED,1
15.129,30.7,0.2447,0,0.000,8.20,NORMAL,RECOVERED,1
15.156,30.3,0.2474,0,0.000,8.15,NORMAL,RECOVERED,1
15.201,30.9,0.2523,0,0.000,8.07,NORMAL,RECOVERED,1
15.224,30.1,0.2469,0,0.000,8.03,NORMAL,RECOVERED,1
15.262,31.4,0.2510,0,0.000,7.96,NORMAL,RECOVERED,1
15.296,30.9,0.2579,0,0.000,7.90,NORMAL,RECOVERED,1
15.329,30.7,0.2432,0,0.000,7.85,NORMAL,RECOVERED,1
15.360,30.7,0.2603,0,0.000,7.79,NORMAL,RECOVERED,1
15.393,30.9,0.2661,0,0.000,7.74,NORMAL,RECOVERED,1
15.426,30.8,0.2745,0,0.000,7.69,NORMAL,RECOVERED,1
15.467,30.8,0.2824,0,0.000,7.62,NORMAL,RECOVERED,1
15.493,30.1,0.2755,0,0.000,7.58,NORMAL,RECOVERED,1
15.533,31.2,0.2749,0,0.000,7.52,NORMAL,RECOVERED,1
15.558,30.6,0.2880,0,0.000,7.47,NORMAL,RECOVERED,1
15.592,31.3,0.2941,0,0.000,7.42,NORMAL,RECOVERED,1
15.626,31.1,0.2765,0,0.000,7.37,NORMAL,RECOVERED,1
15.658,30.9,0.2825,0,0.000,7.32,NORMAL,RECOVERED,1
15.688,31.0,0.2906,0,0.000,7.28,NORMAL,RECOVERED,1
15.729,31.2,0.2972,0,0.000,7.22,NORMAL,RECOVERED,1
15.754,30.5,0.2944,0,0.000,7.19,NORMAL,RECOVERED,1
15.801,31.7,0.2859,0,0.000,7.12,NORMAL,RECOVERED,1
15.825,30.6,0.2805,0,0.000,7.08,NORMAL,RECOVERED,1
15.867,31.7,0.2655,0,0.000,7.03,NORMAL,RECOVERED,1
15.886,30.9,0.2626,0,0.000,7.00,NORMAL,RECOVERED,1
15.932,33.1,0.2597,0,0.000,6.94,NORMAL,RECOVERED,1
15.968,32.0,0.2543,0,0.000,6.89,NORMAL,RECOVERED,1
15.993,31.6,0.2599,0,0.000,6.86,NORMAL,RECOVERED,1
16.023,32.4,0.2749,0,0.000,6.82,NORMAL,RECOVERED,1
16.054,32.5,0.2681,0,0.000,6.78,NORMAL,RECOVERED,1
16.093,32.4,0.2618,0,0.000,6.73,NORMAL,RECOVERED,1
16.121,31.7,0.2645,0,0.000,6.69,NORMAL,RECOVERED,1
16.160,32.2,0.2734,0,0.000,6.65,NORMAL,RECOVERED,1
16.189,31.5,0.2643,0,0.000,6.61,NORMAL,RECOVERED,1
16.222,31.8,0.2657,0,0.000,6.57,NORMAL,RECOVERED,1
16.267,31.8,0.2609,0,0.000,6.52,NORMAL,RECOVERED,1
16.290,30.8,0.2706,0,0.000,6.49,NORMAL,RECOVERED,1
16.329,32.0,0.2695,0,0.000,6.45,NORMAL,RECOVERED,1
16.360,31.3,0.2669,0,0.000,6.41,NORMAL,RECOVERED,1
16.392,31.5,0.2617,0,0.000,6.37,NORMAL,RECOVERED,1
16.420,31.5,0.2641,0,0.000,6.34,NORMAL,RECOVERED,1
16.463,31.8,0.2690,0,0.000,6.30,NORMAL,RECOVERED,1
16.490,31.0,0.2685,0,0.000,6.27,NORMAL,RECOVERED,1
16.533,31.6,0.2568,0,0.000,6.22,NORMAL,RECOVERED,1
16.556,30.8,0.2626,0,0.000,6.19,NORMAL,RECOVERED,1
16.599,32.0,0.2655,0,0.000,6.15,NORMAL,RECOVERED,1
16.623,31.1,0.2693,0,0.000,6.12,NORMAL,RECOVERED,1
16.658,32.2,0.2613,0,0.000,6.09,NORMAL,RECOVERED,1
16.694,31.9,0.2636,0,0.000,6.05,NORMAL,RECOVERED,1
16.737,31.4,0.2554,0,0.000,6.01,NORMAL,RECOVERED,1
16.766,30.6,0.2654,0,0.000,5.98,NORMAL,RECOVERED,1
16.786,31.0,0.2668,0,0.000,5.96,NORMAL,RECOVERED,1
16.824,32.8,0.2597,0,0.000,5.92,NORMAL,RECOVERED,1
16.856,32.1,0.2585,0,0.000,5.89,NORMAL,RECOVERED,1
16.898,32.1,0.2741,0,0.000,5.85,NORMAL,RECOVERED,1
16.940,31.3,0.2612,0,0.000,5.81,NORMAL,RECOVERED,1
16.957,30.5,0.2616,0,0.000,5.80,NORMAL,RECOVERED,1
16.993,33.3,0.2625,0,0.000,5.76,NORMAL,RECOVERED,1
17.026,32.8,0.2597,0,0.000,5.73,NORMAL,RECOVERED,1
17.061,32.5,0.2657,0,0.000,5.70,NORMAL,RECOVERED,1
17.094,32.1,0.2677,0,0.000,5.67,NORMAL,RECOVERED,1
