elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,event_state,drowsy,face_detected
14.480,30.8,0.3183,0,0.000,5.78,NORMAL,0,1
14.520,31.0,0.3203,0,0.000,5.70,NORMAL,0,1
14.550,30.4,0.3212,0,0.000,5.64,NORMAL,0,1
14.584,30.7,0.3199,0,0.000,5.57,NORMAL,0,1
14.614,30.6,0.3146,0,0.000,5.52,NORMAL,0,1
14.652,30.9,0.3098,0,0.000,5.44,NORMAL,0,1
14.679,30.4,0.3137,0,0.000,5.40,NORMAL,0,1
14.714,31.1,0.3140,0,0.000,5.33,NORMAL,0,1
14.753,30.9,0.3110,0,0.000,5.27,NORMAL,0,1
14.781,30.4,0.3112,0,0.000,5.22,NORMAL,0,1
14.813,30.8,0.3122,0,0.000,5.16,NORMAL,0,1
14.855,30.8,0.3145,0,0.000,5.10,NORMAL,0,1
14.880,30.1,0.3126,0,0.000,5.06,NORMAL,0,1
14.917,31.1,0.3199,0,0.000,5.00,NORMAL,0,1
14.947,30.7,0.3223,0,0.000,4.95,NORMAL,0,1
14.982,30.9,0.3138,0,0.000,4.90,NORMAL,0,1
15.013,30.7,0.1999,0,0.000,4.86,NORMAL,0,1
15.049,30.9,0.0336,1,0.000,5.90,NORMAL,0,1
15.082,30.5,0.0337,1,0.032,6.79,NORMAL,0,1
15.116,30.6,0.0460,1,0.067,7.73,NORMAL,0,1
15.148,30.4,0.1633,1,0.098,8.56,NORMAL,0,1
15.190,30.6,0.2150,0,0.000,8.45,NORMAL,0,1
15.214,29.9,0.2443,0,0.000,8.39,NORMAL,0,1
15.252,31.0,0.2650,0,0.000,8.31,NORMAL,0,1
15.280,30.6,0.2715,0,0.000,8.24,NORMAL,0,1
15.317,31.1,0.2702,0,0.000,8.16,NORMAL,0,1
15.348,30.7,0.2852,0,0.000,8.09,NORMAL,0,1
15.385,30.8,0.2751,0,0.000,8.01,NORMAL,0,1
15.414,30.4,0.2816,0,0.000,7.95,NORMAL,0,1
15.450,31.0,0.2845,0,0.000,7.87,NORMAL,0,1
15.480,30.6,0.2896,0,0.000,7.81,NORMAL,0,1
15.522,30.8,0.2907,0,0.000,7.72,NORMAL,0,1
15.547,30.1,0.2922,0,0.000,7.67,NORMAL,0,1
15.583,31.2,0.2932,0,0.000,7.60,NORMAL,0,1
15.614,30.8,0.2979,0,0.000,7.54,NORMAL,0,1
15.648,31.0,0.3009,0,0.000,7.48,NORMAL,0,1
15.680,30.8,0.3027,0,0.000,7.42,NORMAL,0,1
15.716,30.9,0.2979,0,0.000,7.35,NORMAL,0,1
15.747,30.6,0.2978,0,0.000,7.30,NORMAL,0,1
15.782,30.8,0.3044,0,0.000,7.23,NORMAL,0,1
15.823,30.5,0.3058,0,0.000,7.16,NORMAL,0,1
15.856,30.0,0.3117,0,0.000,7.10,NORMAL,0,1
15.881,29.9,0.3103,0,0.000,7.06,NORMAL,0,1
15.917,31.0,0.3108,0,0.000,7.00,NORMAL,0,1
15.947,30.7,0.3073,0,0.000,6.95,NORMAL,0,1
15.983,31.0,0.3095,0,0.000,6.89,NORMAL,0,1
16.020,30.6,0.3042,0,0.000,6.84,NORMAL,0,1
16.053,30.3,0.3096,0,0.000,6.78,NORMAL,0,1
16.084,30.3,0.3093,0,0.000,6.74,NORMAL,0,1
16.125,30.5,0.3090,0,0.000,6.67,NORMAL,0,1
16.157,29.9,0.2958,0,0.000,6.63,NORMAL,0,1
16.195,30.1,0.3054,0,0.000,6.57,NORMAL,0,1
16.217,29.7,0.3018,0,0.000,6.54,NORMAL,0,1
16.253,31.1,0.3047,0,0.000,6.49,NORMAL,0,1
16.280,30.9,0.3004,0,0.000,6.45,NORMAL,0,1
16.316,31.4,0.3012,0,0.000,6.40,NORMAL,0,1
16.348,31.0,0.2487,0,0.000,6.36,NORMAL,0,1
16.387,31.1,0.1285,1,0.000,7.14,NORMAL,0,1
16.413,30.5,0.1274,1,0.027,7.66,NORMAL,0,1
16.449,31.2,0.1611,1,0.061,8.34,NORMAL,0,1
16.480,31.0,0.2296,0,0.000,8.28,NORMAL,0,1
16.523,31.0,0.2559,0,0.000,8.21,NORMAL,0,1
