elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
13.582,30.4,0.3236,0,0.000,0.00,NORMAL,RECOVERED,1
13.620,30.8,0.3245,0,0.000,0.00,NORMAL,RECOVERED,1
13.646,30.4,0.3220,0,0.000,0.00,NORMAL,RECOVERED,1
13.687,31.2,0.3258,0,0.000,0.00,NORMAL,RECOVERED,1
13.717,30.5,0.3288,0,0.000,0.00,NORMAL,RECOVERED,1
13.747,30.8,0.3223,0,0.000,0.00,NORMAL,RECOVERED,1
13.783,31.0,0.3291,0,0.000,0.00,NORMAL,RECOVERED,1
13.817,30.7,0.3288,0,0.000,0.00,NORMAL,RECOVERED,1
13.847,30.5,0.3272,0,0.000,0.00,NORMAL,RECOVERED,1
13.882,30.9,0.3342,0,0.000,0.00,NORMAL,RECOVERED,1
13.915,30.6,0.3354,0,0.000,0.00,NORMAL,RECOVERED,1
13.948,30.6,0.3363,0,0.000,0.00,NORMAL,RECOVERED,1
13.981,30.5,0.3340,0,0.000,0.00,NORMAL,RECOVERED,1
14.019,30.5,0.3295,0,0.000,0.00,NORMAL,RECOVERED,1
14.051,30.1,0.3289,0,0.000,0.00,NORMAL,RECOVERED,1
14.084,30.3,0.3282,0,0.000,0.00,NORMAL,RECOVERED,1
14.112,30.2,0.3246,0,0.000,0.00,NORMAL,RECOVERED,1
14.149,30.8,0.3262,0,0.000,0.00,NORMAL,RECOVERED,1
14.179,30.5,0.3288,0,0.000,0.00,NORMAL,RECOVERED,1
14.215,30.7,0.3231,0,0.000,0.00,NORMAL,RECOVERED,1
14.248,30.4,0.3248,0,0.000,0.00,NORMAL,RECOVERED,1
14.286,30.4,0.3185,0,0.000,0.00,NORMAL,RECOVERED,1
14.311,29.9,0.3173,0,0.000,0.00,NORMAL,RECOVERED,1
14.356,31.0,0.3224,0,0.000,0.00,NORMAL,RECOVERED,1
14.381,30.1,0.3202,0,0.000,0.00,NORMAL,RECOVERED,1
14.414,31.2,0.3124,0,0.000,0.00,NORMAL,RECOVERED,1
14.448,31.1,0.3136,0,0.000,0.00,NORMAL,RECOVERED,1
14.480,30.9,0.3145,0,0.000,0.00,NORMAL,RECOVERED,1
14.513,30.9,0.3085,0,0.000,0.00,NORMAL,RECOVERED,1
14.549,30.9,0.3112,0,0.000,0.00,NORMAL,RECOVERED,1
14.578,30.7,0.3121,0,0.000,0.00,NORMAL,RECOVERED,1
14.615,30.9,0.3140,0,0.000,0.00,NORMAL,RECOVERED,1
14.645,30.5,0.3115,0,0.000,0.00,NORMAL,RECOVERED,1
