elapsed_s,timestamp,from_state,to_state,ear,perclos,cause,held_s
11.774,19:08:10.861,NORMAL,WARNING,0.2139,15.27,PERCLOS,0.00
12.941,19:08:12.028,WARNING,NORMAL,0.3025,6.53,RECOVERED,0.00
65.769,19:09:04.856,NORMAL,WARNING,0.1828,5.48,INSTANT,0.00
67.293,19:09:06.381,WARNING,NORMAL,0.3078,5.36,INSTANT,0.00
