elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
13.993,30.8,0.3009,0,0.000,0.00,NORMAL,RECOVERED,1
14.029,31.0,0.3050,0,0.000,0.00,NORMAL,RECOVERED,1
14.060,30.8,0.2991,0,0.000,0.00,NORMAL,RECOVERED,1
14.107,30.8,0.3035,0,0.000,0.00,NORMAL,RECOVERED,1
14.128,29.9,0.3036,0,0.000,0.00,NORMAL,RECOVERED,1
14.166,31.4,0.2910,0,0.000,0.00,NORMAL,RECOVERED,1
14.194,30.9,0.2989,0,0.000,0.00,NORMAL,RECOVERED,1
14.230,31.4,0.2993,0,0.000,0.00,NORMAL,RECOVERED,1
14.261,31.0,0.3048,0,0.000,0.00,NORMAL,RECOVERED,1
14.300,31.1,0.2991,0,0.000,0.00,NORMAL,RECOVERED,1
14.331,30.6,0.3159,0,0.000,0.00,NORMAL,RECOVERED,1
14.364,30.8,0.3124,0,0.000,0.00,NORMAL,RECOVERED,1
14.399,30.7,0.3129,0,0.000,0.00,NORMAL,RECOVERED,1
14.438,30.5,0.3235,0,0.000,0.00,NORMAL,RECOVERED,1
14.461,30.0,0.3196,0,0.000,0.00,NORMAL,RECOVERED,1
14.497,31.6,0.3223,0,0.000,0.00,NORMAL,RECOVERED,1
14.527,31.1,0.3278,0,0.000,0.00,NORMAL,RECOVERED,1
14.561,31.4,0.3265,0,0.000,0.00,NORMAL,RECOVERED,1
14.593,31.1,0.3260,0,0.000,0.00,NORMAL,RECOVERED,1
14.635,31.2,0.3240,0,0.000,0.00,NORMAL,RECOVERED,1
14.664,30.4,0.3168,0,0.000,0.00,NORMAL,RECOVERED,1
14.697,30.9,0.3223,0,0.000,0.00,NORMAL,RECOVERED,1
14.731,30.8,0.3216,0,0.000,0.00,NORMAL,RECOVERED,1
14.768,30.7,0.3145,0,0.000,0.00,NORMAL,RECOVERED,1
14.795,30.3,0.3149,0,0.000,0.00,NORMAL,RECOVERED,1
14.829,30.9,0.3211,0,0.000,0.00,NORMAL,RECOVERED,1
14.861,30.8,0.3151,0,0.000,0.00,NORMAL,RECOVERED,1
14.899,30.8,0.3127,0,0.000,0.00,NORMAL,RECOVERED,1
14.929,30.4,0.3099,0,0.000,0.00,NORMAL,RECOVERED,1
14.968,30.6,0.3129,0,0.000,0.00,NORMAL,RECOVERED,1
14.993,30.1,0.3178,0,0.000,0.00,NORMAL,RECOVERED,1
15.029,31.1,0.3187,0,0.000,0.00,NORMAL,RECOVERED,1
15.060,30.8,0.3131,0,0.000,0.00,NORMAL,RECOVERED,1
15.102,30.9,0.3104,0,0.000,0.00,NORMAL,RECOVERED,1
15.128,30.2,0.3234,0,0.000,0.00,NORMAL,RECOVERED,1
15.168,31.0,0.3191,0,0.000,0.00,NORMAL,RECOVERED,1
15.200,30.4,0.3212,0,0.000,0.00,NORMAL,RECOVERED,1
15.231,30.5,0.3130,0,0.000,0.00,NORMAL,RECOVERED,1
15.263,30.6,0.3143,0,0.000,0.00,NORMAL,RECOVERED,1
15.303,30.7,0.3214,0,0.000,0.00,NORMAL,RECOVERED,1
15.328,30.2,0.3305,0,0.000,0.00,NORMAL,RECOVERED,1
15.362,31.2,0.3293,0,0.000,0.00,NORMAL,RECOVERED,1
15.397,30.9,0.3380,0,0.000,0.00,NORMAL,RECOVERED,1
15.438,30.7,0.3407,0,0.000,0.00,NORMAL,RECOVERED,1
15.461,30.1,0.3369,0,0.000,0.00,NORMAL,RECOVERED,1
15.500,31.5,0.3400,0,0.000,0.00,NORMAL,RECOVERED,1
15.529,30.9,0.3345,0,0.000,0.00,NORMAL,RECOVERED,1
15.568,31.3,0.3334,0,0.000,0.00,NORMAL,RECOVERED,1
15.595,30.7,0.3349,0,0.000,0.00,NORMAL,RECOVERED,1
15.630,31.3,0.3422,0,0.000,0.00,NORMAL,RECOVERED,1
15.661,31.0,0.3343,0,0.000,0.00,NORMAL,RECOVERED,1
15.695,31.2,0.3340,0,0.000,0.00,NORMAL,RECOVERED,1
15.727,31.0,0.3388,0,0.000,0.00,NORMAL,RECOVERED,1
15.769,31.0,0.3409,0,0.000,0.00,NORMAL,RECOVERED,1
15.793,30.3,0.3406,0,0.000,0.00,NORMAL,RECOVERED,1
15.831,31.4,0.3349,0,0.000,0.00,NORMAL,RECOVERED,1
15.861,30.9,0.3346,0,0.000,0.00,NORMAL,RECOVERED,1
15.897,31.2,0.3328,0,0.000,0.00,NORMAL,RECOVERED,1
15.928,30.8,0.3323,0,0.000,0.00,NORMAL,RECOVERED,1
15.967,30.9,0.3377,0,0.000,0.00,NORMAL,RECOVERED,1
15.994,30.4,0.3369,0,0.000,0.00,NORMAL,RECOVERED,1
16.034,31.1,0.3363,0,0.000,0.00,NORMAL,RECOVERED,1
16.062,30.5,0.3381,0,0.000,0.00,NORMAL,RECOVERED,1
16.102,31.0,0.3363,0,0.000,0.00,NORMAL,RECOVERED,1
16.126,30.4,0.3349,0,0.000,0.00,NORMAL,RECOVERED,1
16.164,31.5,0.3355,0,0.000,0.00,NORMAL,RECOVERED,1
16.194,31.0,0.3399,0,0.000,0.00,NORMAL,RECOVERED,1
16.232,31.3,0.3377,0,0.000,0.00,NORMAL,RECOVERED,1
16.268,30.7,0.3413,0,0.000,0.00,NORMAL,RECOVERED,1
16.297,30.6,0.3358,0,0.000,0.00,NORMAL,RECOVERED,1
16.330,30.8,0.3375,0,0.000,0.00,NORMAL,RECOVERED,1
16.367,30.7,0.3352,0,0.000,0.00,NORMAL,RECOVERED,1
16.399,30.4,0.3325,0,0.000,0.00,NORMAL,RECOVERED,1
16.440,30.5,0.3296,0,0.000,0.00,NORMAL,RECOVERED,1
16.460,29.9,0.3157,0,0.000,0.00,NORMAL,RECOVERED,1
16.503,31.9,0.3154,0,0.000,0.00,NORMAL,RECOVERED,1
16.529,31.0,0.3155,0,0.000,0.00,NORMAL,RECOVERED,1
16.563,31.8,0.3302,0,0.000,0.00,NORMAL,RECOVERED,1
16.594,31.7,0.3375,0,0.000,0.00,NORMAL,RECOVERED,1
16.631,31.6,0.3397,0,0.000,0.00,NORMAL,RECOVERED,1
16.661,31.2,0.3388,0,0.000,0.00,NORMAL,RECOVERED,1
16.702,31.3,0.3384,0,0.000,0.00,NORMAL,RECOVERED,1
16.728,30.7,0.3389,0,0.000,0.00,NORMAL,RECOVERED,1
16.774,31.4,0.3331,0,0.000,0.00,NORMAL,RECOVERED,1
16.797,30.4,0.3350,0,0.000,0.00,NORMAL,RECOVERED,1
16.834,31.6,0.3355,0,0.000,0.00,NORMAL,RECOVERED,1
16.864,31.1,0.3404,0,0.000,0.00,NORMAL,RECOVERED,1
16.898,31.4,0.3357,0,0.000,0.00,NORMAL,RECOVERED,1
16.929,31.1,0.3390,0,0.000,0.00,NORMAL,RECOVERED,1
16.967,31.2,0.3400,0,0.000,0.00,NORMAL,RECOVERED,1
16.994,30.7,0.3446,0,0.000,0.00,NORMAL,RECOVERED,1
17.033,31.4,0.3383,0,0.000,0.00,NORMAL,RECOVERED,1
17.063,30.9,0.3343,0,0.000,0.00,NORMAL,RECOVERED,1
17.108,31.1,0.3434,0,0.000,0.00,NORMAL,RECOVERED,1
17.128,30.2,0.3362,0,0.000,0.00,NORMAL,RECOVERED,1
17.164,32.0,0.3389,0,0.000,0.00,NORMAL,RECOVERED,1
17.195,31.6,0.3479,0,0.000,0.00,NORMAL,RECOVERED,1
17.235,31.7,0.3374,0,0.000,0.00,NORMAL,RECOVERED,1
17.269,31.0,0.3409,0,0.000,0.00,NORMAL,RECOVERED,1
17.301,30.8,0.3395,0,0.000,0.00,NORMAL,RECOVERED,1
17.328,31.0,0.3356,0,0.000,0.00,NORMAL,RECOVERED,1
17.368,31.5,0.3400,0,0.000,0.00,NORMAL,RECOVERED,1
17.397,30.9,0.3383,0,0.000,0.00,NORMAL,RECOVERED,1
17.439,31.2,0.3398,0,0.000,0.00,NORMAL,RECOVERED,1
17.463,30.4,0.3399,0,0.000,0.00,NORMAL,RECOVERED,1
17.499,31.7,0.3323,0,0.000,0.00,NORMAL,RECOVERED,1
17.534,31.3,0.3298,0,0.000,0.00,NORMAL,RECOVERED,1
17.568,31.1,0.3377,0,0.000,0.00,NORMAL,RECOVERED,1
17.598,30.8,0.3336,0,0.000,0.00,NORMAL,RECOVERED,1
17.631,31.1,0.3291,0,0.000,0.00,NORMAL,RECOVERED,1
17.663,31.0,0.3292,0,0.000,0.00,NORMAL,RECOVERED,1
17.701,31.1,0.3359,0,0.000,0.00,NORMAL,RECOVERED,1
17.734,30.6,0.3356,0,0.000,0.00,NORMAL,RECOVERED,1
17.770,30.5,0.3373,0,0.000,0.00,NORMAL,RECOVERED,1
17.798,30.2,0.3321,0,0.000,0.00,NORMAL,RECOVERED,1
17.834,31.0,0.3343,0,0.000,0.00,NORMAL,RECOVERED,1
17.868,30.6,0.3343,0,0.000,0.00,NORMAL,RECOVERED,1
17.899,30.4,0.3331,0,0.000,0.00,NORMAL,RECOVERED,1
17.928,30.7,0.3292,0,0.000,0.00,NORMAL,RECOVERED,1
17.965,31.0,0.3330,0,0.000,0.00,NORMAL,RECOVERED,1
17.996,30.6,0.3321,0,0.000,0.00,NORMAL,RECOVERED,1
18.034,30.8,0.3333,0,0.000,0.00,NORMAL,RECOVERED,1
18.065,30.3,0.3309,0,0.000,0.00,NORMAL,RECOVERED,1
18.104,30.7,0.3323,0,0.000,0.00,NORMAL,RECOVERED,1
18.130,30.1,0.3376,0,0.000,0.00,NORMAL,RECOVERED,1
18.167,31.2,0.3374,0,0.000,0.00,NORMAL,RECOVERED,1
18.194,30.7,0.3335,0,0.000,0.00,NORMAL,RECOVERED,1
18.232,31.2,0.3292,0,0.000,0.00,NORMAL,RECOVERED,1
18.264,30.8,0.3330,0,0.000,0.00,NORMAL,RECOVERED,1
18.298,30.8,0.3290,0,0.000,0.00,NORMAL,RECOVERED,1
18.328,30.7,0.3274,0,0.000,0.00,NORMAL,RECOVERED,1
18.364,31.0,0.3251,0,0.000,0.00,NORMAL,RECOVERED,1
18.394,30.7,0.3318,0,0.000,0.00,NORMAL,RECOVERED,1
18.437,30.9,0.3297,0,0.000,0.00,NORMAL,RECOVERED,1
18.461,30.1,0.3311,0,0.000,0.00,NORMAL,RECOVERED,1
18.500,31.3,0.3281,0,0.000,0.00,NORMAL,RECOVERED,1
18.529,30.7,0.3320,0,0.000,0.00,NORMAL,RECOVERED,1
18.564,31.2,0.3257,0,0.000,0.00,NORMAL,RECOVERED,1
18.597,30.9,0.3338,0,0.000,0.00,NORMAL,RECOVERED,1
18.631,30.8,0.3308,0,0.000,0.00,NORMAL,RECOVERED,1
18.663,30.7,0.3340,0,0.000,0.00,NORMAL,RECOVERED,1
18.698,30.8,0.3373,0,0.000,0.00,NORMAL,RECOVERED,1
18.728,30.6,0.3299,0,0.000,0.00,NORMAL,RECOVERED,1
18.774,30.8,0.3280,0,0.000,0.00,NORMAL,RECOVERED,1
18.795,29.9,0.3311,0,0.000,0.00,NORMAL,RECOVERED,1
18.836,31.6,0.3359,0,0.000,0.00,NORMAL,RECOVERED,1
18.869,30.9,0.3353,0,0.000,0.00,NORMAL,RECOVERED,1
18.897,30.8,0.3339,0,0.000,0.00,NORMAL,RECOVERED,1
18.928,31.3,0.3301,0,0.000,0.00,NORMAL,RECOVERED,1
18.962,31.5,0.3329,0,0.000,0.00,NORMAL,RECOVERED,1
18.996,31.2,0.3341,0,0.000,0.00,NORMAL,RECOVERED,1
19.039,31.1,0.3363,0,0.000,0.00,NORMAL,RECOVERED,1
19.067,30.3,0.3316,0,0.000,0.00,NORMAL,RECOVERED,1
19.109,30.7,0.3353,0,0.000,0.00,NORMAL,RECOVERED,1
19.134,30.1,0.3369,0,0.000,0.00,NORMAL,RECOVERED,1
19.164,31.0,0.3363,0,0.000,0.00,NORMAL,RECOVERED,1
19.200,31.4,0.3286,0,0.000,0.00,NORMAL,RECOVERED,1
19.237,31.0,0.3307,0,0.000,0.00,NORMAL,RECOVERED,1
19.264,30.5,0.3249,0,0.000,0.00,NORMAL,RECOVERED,1
19.301,31.3,0.3275,0,0.000,0.00,NORMAL,RECOVERED,1
19.336,30.8,0.3321,0,0.000,0.00,NORMAL,RECOVERED,1
19.368,30.6,0.3325,0,0.000,0.00,NORMAL,RECOVERED,1
19.399,30.6,0.3342,0,0.000,0.00,NORMAL,RECOVERED,1
19.437,30.8,0.3345,0,0.000,0.00,NORMAL,RECOVERED,1
19.461,30.4,0.3303,0,0.000,0.00,NORMAL,RECOVERED,1
19.497,31.5,0.3356,0,0.000,0.00,NORMAL,RECOVERED,1
19.528,31.1,0.3361,0,0.000,0.00,NORMAL,RECOVERED,1
